category,monthly_budget
Income,0.0
Groceries,550.0
Meals & Dining,75.0
Medical,200.0
Housing,1401.0
Subscriptions,20.0
Shopping,50.0
Donations,0.0
Entertainment,25.0
Car Payment,515.0
Gas & Auto,50.0
Recreation,60.0
Travel,0.0
Marketing,0.0
Utilities,100.0
Government Fees,0.0
Insurance,0.0
Office Supplies,0.0
Bank Fees,0.0
Taxes,0.0
Software,0.0
Uncategorized,0.0
